Localización;Precio_2015;Precio_2016;Precio_2017;Precio_2018;Precio_2019;Precio_2020;Precio_2021;Precio_2022;Precio_2023
Toledo;5.5;5.8;6.2;6.6;7.1;7.1;7.5;7.6;8.3
Toledo provincia;4.2;4.3;4.6;5.1;5.4;5.8;6.1;6.2;6.2
Valencia/Valéncia;5.4;5.9;6.4;7.3;7.7;8.1;8.1;9.3;9.3
Valladolid;5.8;6.1;6.4;6.8;7.2;7.1;7.3;7.4;7.9
Valladolid provincia;5.4;5.7;6.1;6.3;6.6;6.9;7.0;7.1;7.1
València;6.2;6.7;7.5;8.3;9.0;8.8;9.2;11.0;13.3
Vitoria-Gasteiz;7.9;8.2;8.9;9.3;9.4;10.0;10.1;10.7;11.2
Vizcaya;9.8;10.1;10.5;10.8;11.3;11.8;11.7;12.2;12.2
Zamora;4.3;4.4;4.5;4.7;5.3;5.2;5.6;5.5;6.2
Zamora provincia;4.3;4.4;4.4;4.8;4.8;4.9;5.2;5.3;5.3
Zaragoza;6.6;6.8;7.3;7.7;8.3;8.3;8.4;8.8;9.4
Zaragoza provincia;6.2;6.4;6.9;7.3;7.7;8.0;8.1;8.4;8.4
Álava;7.6;7.8;8.4;9.0;9.3;9.7;9.7;10.5;10.5
Ávila;4.5;4.5;4.6;5.2;5.8;5.6;5.8;6.2;6.9
Ávila provincia;4.0;4.0;4.1;4.5;4.8;5.2;5.4;5.7;5.7
