Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Renta neta media por persona;2022;12.957
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Renta neta media por persona;2021;12.000
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Renta neta media por persona;2020;11.500
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Renta neta media por persona;2019;11.531
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Renta neta media por persona;2018;11.026
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Renta neta media por persona;2017;10.484
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Renta neta media por persona;2016;9.960
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Renta neta media por persona;2015;9.693
Total Nacional;Canarias;Palmas, Las;Lanzarote;Renta neta media por persona;2023;13.521
Total Nacional;Canarias;Palmas, Las;Lanzarote;Renta neta media por persona;2022;12.228
Total Nacional;Canarias;Palmas, Las;Lanzarote;Renta neta media por persona;2021;10.953
Total Nacional;Canarias;Palmas, Las;Lanzarote;Renta neta media por persona;2020;10.375
Total Nacional;Canarias;Palmas, Las;Lanzarote;Renta neta media por persona;2019;10.943
Total Nacional;Canarias;Palmas, Las;Lanzarote;Renta neta media por persona;2018;10.493
Total Nacional;Canarias;Palmas, Las;Lanzarote;Renta neta media por persona;2017;9.938
Total Nacional;Canarias;Palmas, Las;Lanzarote;Renta neta media por persona;2016;9.411
Total Nacional;Canarias;Palmas, Las;Lanzarote;Renta neta media por persona;2015;9.161
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2023;13.366
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2022;12.237
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2021;11.198
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2020;10.679
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2019;10.770
