CPRO,CMUN,NOMBRE,Poblacion,PROVINCIA,num_bancos,alquiler_m2,renta_media,pop_score,renta_norm,renta_score,alquiler_norm,alquiler_score,competition_score,score_total,dist_m,dist_km,dist_score,score_with_distance
30,007,Alguazas,10204,Murcia,0.0,9.3,12.446,0.1165682312713708,0.1368389149871193,0.8631610850128807,0.0909090909090909,0.9090909090909092,1.0,0.6948372733463664,1504.2736922170675,1.5042736922170674,0.8603402149176284,0.7125697313718585
14,002,Aguilar de la Frontera,13210,Córdoba,0.0,9.0,12.386,0.2015146805323989,0.1277466282770116,0.8722533717229883,0.0727272727272727,0.9272727272727272,1.0,0.7247108692266263,5188.674079159401,5.1886740791594015,0.5951942786956598,0.710834091669737
13,079,"Solana, La",15225,Ciudad Real,0.0,7.8,12.529,0.2584564953231412,0.1494165782694348,0.8505834217305651,0.0,1.0,1.0,0.7473766636095396,9359.19109621823,9.35919109621823,0.3922252018552337,0.709324721278721
10,131,Navalmoral de la Mata,17028,Cáceres,0.0,7.8,12.771,0.3094074095006641,0.1860888013335356,0.8139111986664644,0.0,1.0,1.0,0.7436118917750751,8725.731445833295,8.725731445833295,0.4178749121035736,0.7087115010959856
04,099,Vélez-Rubio,6613,Almería,0.0,9.0,11.543,0.0150902873936756,0.0,1.0,0.0727272727272727,0.9272727272727272,1.0,0.7355907536666008,9310.057112227754,9.310057112227756,0.3941571027468916,0.6990085767823461
21,072,Valverde del Camino,12611,Huelva,0.0,9.4,12.008,0.184587560403538,0.0704652220033338,0.9295347779966662,0.096969696969697,0.903030303030303,1.0,0.7401951159569601,10590.760847606864,10.590760847606866,0.3467760540492157,0.6980430736097016
03,005,Albatera,13296,Alicante/Alacant,0.0,11.8,12.313,0.2039449515358747,0.1166843461130476,0.8833156538869523,0.2424242424242425,0.7575757575757576,1.0,0.6878722215270366,2540.239846784776,2.540239846784776,0.7756731975511185,0.6972794689581882
24,142,San Andrés del Rabanedo,29884,León,0.0,8.8,15.11,0.6727046655551474,0.5405364449158964,0.4594635550841036,0.0606060606060606,0.9393939393939392,1.0,0.6597832510251184,275.5878252511507,0.2755878252511507,0.9728174962037884,0.6933226344371186
14,052,Peñarroya-Pueblonuevo,10289,Córdoba,0.0,9.0,12.386,0.11897024330969,0.1277466282770116,0.8722533717229883,0.0727272727272727,0.9272727272727272,1.0,0.7040747599209491,5151.473787086222,5.151473787086222,0.5974125422408838,0.6926466651695133
18,153,Peligros,11674,Granada,0.0,10.4,12.709,0.1581089100517139,0.1766934383997576,0.8233065616002424,0.1575757575757576,0.8424242424242424,1.0,0.6706212408390982,1390.0527959050712,1.3900527959050712,0.8702234340227419,0.6920071901087741
21,070,Trigueros,8110,Huelva,0.0,9.4,12.008,0.0573939582332495,0.0704652220033338,0.9295347779966662,0.096969696969697,0.903030303030303,1.0,0.708396715414388,5958.279531112594,5.958279531112594,0.5511060869230232,0.6915441480760273
06,054,Fuente del Maestre,6567,Badajoz,0.0,8.1,12.068,0.0137903749964676,0.0795575087134414,0.9204424912865584,0.0181818181818181,0.9818181818181818,1.0,0.7131012602826138,6890.79687927645,6.890796879276451,0.5020378880538204,0.6904873275438144
10,121,Miajadas,9370,Cáceres,0.0,7.8,12.771,0.0930002543306864,0.1860888013335356,0.8139111986664644,0.0,1.0,1.0,0.6895101029825808,3865.489300521552,3.865489300521552,0.6793974816071243,0.6884266078352103
45,142,Quintanar de la Orden,11194,Toledo,0.0,9.8,12.422,0.1445446067764998,0.1332020003030764,0.8667979996969236,0.1212121212121212,0.8787878787878787,1.0,0.6958922212547103,4936.99977651723,4.93699977651723,0.6103638784270691,0.6867284702374629
45,016,Argés,7014,Toledo,0.0,9.8,12.422,0.0264221324215107,0.1332020003030764,0.8667979996969236,0.1212121212121212,0.8787878787878787,1.0,0.6663616026659631,1982.8559117127363,1.982855911712736,0.8201355962030442,0.682837387687793
30,025,Lorquí,7770,Murcia,0.0,9.3,12.446,0.0477859100799728,0.1368389149871193,0.8631610850128807,0.0909090909090909,0.9090909090909092,1.0,0.6776416930485168,3201.364660500756,3.201364660500756,0.7260499491440583,0.6828282919158961
45,087,Madridejos,10102,Toledo,0.0,9.8,12.422,0.1136858168253878,0.1332020003030764,0.8667979996969236,0.1212121212121212,0.8787878787878787,1.0,0.6881775237669323,4637.907354352426,4.637907354352427,0.6288951461669189,0.6818258404526449
13,078,Socuéllamos,12157,Ciudad Real,0.0,7.8,12.529,0.171757990222398,0.1494165782694348,0.8505834217305651,0.0,1.0,1.0,0.7257020373343539,12083.381949156676,12.083381949156678,0.2986932371633833,0.6799510944588926
41,053,Lebrija,27745,Sevilla,0.0,12.9,12.964,0.6122587390849747,0.2153356569177149,0.784664343082285,0.3090909090909091,0.6909090909090909,1.0,0.7288909118855448,13126.743229079742,13.126743229079745,0.2690994344442388,0.6796275393025475
29,008,Alhaurín el Grande,27647,Málaga,0.0,15.4,12.95,0.6094893604996185,0.213214123352023,0.786785876647977,0.4606060606060606,0.5393939393939393,1.0,0.6912744694649791,5423.903635446674,5.423903635446674,0.5813569357345629,0.6794975908510059
03,058,Cox,7622,Alicante/Alacant,0.0,11.8,12.313,0.0436035832367818,0.1166843461130476,0.8833156538869523,0.2424242424242425,0.7575757575757576,1.0,0.6477868794522634,1018.710339215606,1.018710339215606,0.9031460193588996,0.6751467872994029
13,019,Argamasilla de Alba,6925,Ciudad Real,0.0,7.8,12.529,0.0239070845225647,0.1494165782694348,0.8505834217305651,0.0,1.0,1.0,0.6887393109093956,6172.270762356112,6.172270762356112,0.5394381865784964,0.6727427618739419
45,201,Yeles,6649,Toledo,0.0,9.8,12.422,0.0161076101393167,0.1332020003030764,0.8667979996969236,0.1212121212121212,0.8787878787878787,1.0,0.6637829720954145,3003.339310280779,3.003339310280779,0.7405708797913642,0.6720102479199803
30,020,Fortuna,11183,Murcia,0.0,9.3,12.446,0.1442337581597761,0.1368389149871193,0.8631610850128807,0.0909090909090909,0.9090909090909092,1.0,0.7017536550684677,8857.348354004333,8.857348354004333,0.4124110076963069,0.670752657135736
18,057,Cúllar Vega,7809,Granada,0.0,10.4,12.709,0.048888009721084,0.1766934383997576,0.8233065616002424,0.1575757575757576,0.8424242424242424,1.0,0.6433160157564407,1254.1810921192898,1.2541810921192895,0.8821279996263627,0.668903014028218
29,042,Coín,25809,Málaga,0.0,15.4,12.95,0.5575493825416113,0.213214123352023,0.786785876647977,0.4606060606060606,0.5393939393939393,1.0,0.6782894749754773,5832.7075181694845,5.832707518169484,0.5580700695484455,0.6654088243940096
41,007,"Algaba, La",16666,Sevilla,0.0,12.9,12.964,0.2991776641139401,0.2153356569177149,0.784664343082285,0.3090909090909091,0.6909090909090909,1.0,0.6506206431427861,2430.0556943303027,2.430055694330303,0.7842671458360464,0.6649399112884924
18,149,Villa de Otura,7606,Granada,0.0,10.4,12.709,0.0431514397942747,0.1766934383997576,0.8233065616002424,0.1575757575757576,0.8424242424242424,1.0,0.6418818732747384,1579.712055804414,1.5797120558044142,0.8538743684313185,0.6645953548986576
13,061,Pedro Muñoz,7567,Ciudad Real,0.0,7.8,12.529,0.0420493401531635,0.1494165782694348,0.8505834217305651,0.0,1.0,1.0,0.6932748748170452,8573.74008017759,8.57374008017759,0.4242747628587884,0.664453434250089
46,094,Catarroja,30142,Valencia/València,0.0,13.5,14.435,0.679995478565575,0.4382482194271861,0.5617517805728138,0.3454545454545454,0.6545454545454545,1.0,0.6364235345355236,1649.7139505663995,1.6497139505663998,0.8479179583861913,0.6590836513766665
11,029,Puerto Serrano,6898,Cádiz,0.0,11.8,12.335,0.0231440924633339,0.1200181845734204,0.8799818154265795,0.2424242424242425,0.7575757575757576,1.0,0.6411717794517338,2541.102215510873,2.541102215510873,0.7756063088045742,0.6555754790252523
03,096,Onil,7959,Alicante/Alacant,0.0,11.8,12.313,0.0531268544945884,0.1166843461130476,0.8833156538869523,0.2424242424242425,0.7575757575757576,1.0,0.6501676972667151,3583.228509047115,3.583228509047115,0.6988474150610192,0.6553833813161046
45,106,Mora,9930,Toledo,0.0,9.8,12.422,0.1088252748184361,0.1332020003030764,0.8667979996969236,0.1212121212121212,0.8787878787878787,1.0,0.6869623882651944,9582.980400928356,9.582980400928356,0.3835451091872194,0.6544533940782684
16,154,"Pedroñeras, Las",6518,Cuenca,0.0,8.1,12.725,0.0124056857037895,0.1791180481891196,0.8208819518108804,0.0181818181818181,0.9818181818181818,1.0,0.6679528451953891,6728.369470416524,6.728369470416523,0.510258944888736,0.6510570701625332
