Localización,Precio m2 octubre 2025,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo
Pontevedra,8.8 €/m2,+ 0.1 %,+ 0.8 %, + 6.4 %,8.8 €/m2 oct 2025,0.0 %
La Rioja,9.0 €/m2,- 0.2 %,- 0.8 %, + 9.9 %,9.1 €/m2 ago 2025,- 1.5 %
La Rioja,9.0 €/m2,- 0.2 %,- 0.8 %, + 9.9 %,9.1 €/m2 ago 2025,- 1.5 %
Logroño,9.3 €/m2,+ 0.9 %,+ 1.7 %, + 9.2 %,9.3 €/m2 oct 2025,0.0 %
Madrid Comunidad,21.1 €/m2,+ 1.0 %,+ 4.0 %, + 12.7 %,21.1 €/m2 oct 2025,0.0 %
Madrid provincia,21.1 €/m2,+ 1.0 %,+ 4.0 %, + 12.7 %,21.1 €/m2 oct 2025,0.0 %
Madrid,23.0 €/m2,+ 1.2 %,+ 4.2 %, + 11.5 %,23.0 €/m2 oct 2025,0.0 %
Melilla,10.3 €/m2,+ 1.6 %,+ 0.7 %, + 5.0 %,10.4 €/m2 jul 2024,- 0.3 %
Melilla provincia,10.3 €/m2,+ 1.6 %,+ 0.7 %, + 5.0 %,10.4 €/m2 jul 2024,- 0.3 %
Melilla,10.3 €/m2,+ 1.6 %,+ 0.7 %, + 5.0 %,10.4 €/m2 jul 2024,- 0.3 %
Murcia Región,8.8 €/m2,- 1.5 %,- 4.3 %, + 7.9 %,9.2 €/m2 jul 2025,- 4.3 %
Murcia provincia,8.8 €/m2,- 1.5 %,- 4.3 %, + 7.9 %,9.2 €/m2 jul 2025,- 4.3 %
Murcia,9.3 €/m2,+ 0.2 %,- 0.6 %, + 7.0 %,9.4 €/m2 jun 2025,- 1.0 %
Navarra,10.6 €/m2,- 1.5 %,- 0.7 %, + 3.0 %,10.8 €/m2 ago 2025,- 1.7 %
Navarra,10.6 €/m2,- 1.5 %,- 0.7 %, + 3.0 %,10.8 €/m2 ago 2025,- 1.7 %
Pamplona/Iruña,11.1 €/m2,- 2.4 %,- 0.1 %, + 0.5 %,11.4 €/m2 sep 2025,- 2.4 %
