Municipio,num_bancos,poblacion,renta
sant quirze del vallès,4,20161.0,62.048
sant sadurní d'anoia,1,12915.0,46.009
santa coloma de cervelló,5,8335.0,52.238
santa coloma de gramenet,24,121203.0,34.161
santa eulàlia de ronçana,2,7911.0,47.38
santa margarida de montbui,6,10549.0,34.014
santa margarida i els monjos,1,7736.0,38.226
barberà del vallès,7,33575.0,43.314
santa maria d'oló,2,1077.0,38.69
santa maria de palautordera,3,10008.0,44.311
santa perpètua de mogoda,2,25960.0,43.064
santa susanna,3,4023.0,43.796
sant vicenç dels horts,9,28568.0,42.529
cerdanyola del vallès,24,58100.0,46.621
cercs,2,1193.0,34.696
seva,2,3798.0,49.171
sitges,11,32405.0,51.676
taradell,2,6844.0,47.293
terrassa,14,228708.0,40.058
teià,1,6818.0,65.106
tiana,3,9305.0,65.678
tona,1,8511.0,45.653
tordera,1,18780.0,35.762
torrelles de foix,1,2657.0,32.326
torrelles de llobregat,2,6155.0,51.668
vacarisses,1,7563.0,46.087
vallbona d'anoia,2,1406.0,40.788
vallirana,4,15985.0,47.243
vic,18,49530.0,42.616
viladecavalls,1,7802.0,54.329
viladecans,1,67348.0,42.887
vilanova del camí,2,12844.0,35.538
vilafranca del penedès,3,41504.0,39.684
vilalba sasserra,1,780.0,38.565
vilanova i la geltrú,30,70418.0,41.375
rupit i pruit,1,281.0,43.624
"palma de cervelló, la",4,3044.0,49.631
aranda de duero,25,33757.0,34.938
arcos,2,1835.0,42.694
arija,1,115.0,25.698
belorado,5,1834.0,30.84
briviesca,6,6560.0,30.813
burgos,101,175895.0,38.815
caleruega,3,400.0,38.894
cardeñadijo,2,1430.0,38.648
castildelgado,1,35.0,32.423
castrojeriz,3,778.0,30.961
cerezo de río tirón,3,490.0,33.961
cilleruelo de abajo,1,209.0,28.548
condado de treviño,3,1489.0,32.75
covarrubias,2,505.0,33.214
espinosa de los monteros,5,1648.0,27.51
estépar,4,634.0,36.407
frías,1,270.0,29.13
gumiel de izán,3,584.0,37.287
hontoria del pinar,3,610.0,32.205
huerta de rey,3,881.0,30.861
ibeas de juarros,2,1445.0,38.86
lerma,6,2556.0,31.705
mecerreyes,2,188.0,34.449
medina de pomar,5,5997.0,29.328
melgar de fernamental,3,1513.0,31.736
merindad de valdeporres,2,421.0,28.571
milagros,1,415.0,38.856
miranda de ebro,22,36018.0,35.58
montorio,1,149.0,43.961
oña,4,951.0,30.836
palacios de la sierra,2,675.0,30.088
pampliega,1,291.0,71.076
pancorbo,3,437.0,31.86
peñaranda de duero,3,465.0,30.532
pradoluengo,5,1070.0,32.151
"puebla de arganzón, la",2,557.0,35.265
quintanar de la sierra,4,1513.0,30.24
quintanilla vivar,1,885.0,44.729
roa,3,2244.0,31.143
salas de los infantes,4,1984.0,33.147
santa maría del campo,3,523.0,33.98
santo domingo de silos,1,247.0,42.231
sasamón,3,912.0,34.591
tardajos,3,864.0,39.799
tordómar,1,298.0,37.035
torresandino,1,574.0,44.245
tórtoles de esgueva,1,387.0,32.762
trespaderne,3,713.0,29.745
vadocondes,1,364.0,36.066
valle de mena,4,4140.0,30.031
valle de tobalina,3,863.0,30.11
valle de valdebezana,2,482.0,25.951
