id,amenity,atm,brand,name,coordinates
node/279399054,bank,yes,Banco Sabadell,Banco Sabadell,"[1.4284863, 38.7050501]"
way/280431353,bank,,Unicaja Banco,Unicaja Banco,"[-6.6691281, 40.3209432]"
node/280585306,bank,,,Banco de Valencia,"[-0.4327223, 38.365914]"
node/280707630,bank,yes,Abanca,Abanca,"[-8.1707722, 43.4064858]"
node/280707637,bank,yes,Banco Sabadell,Banco Sabadell,"[-8.171074, 43.4067758]"
node/280707676,atm,,,,"[-8.1704717, 43.4070429]"
node/280710435,bank,yes,Caixabank,Caixabank,"[-8.1713956, 43.4076755]"
node/280765053,atm,,,Unicaja Banco,"[-5.1181667, 36.6708645]"
way/282463897,bank,,ING,ING,"[-3.6693806, 40.4590587]"
node/282836694,bank,,Banco Santander,Banco Santander,"[-5.1283422, 43.3505872]"
node/282836823,bank,,,Caja Navarra,"[-1.7990882, 42.3388472]"
node/282837070,bank,,Banco Santander,Banco Santander,"[-1.7969946, 42.3382595]"
node/283190094,atm,,,Telebanco 4B,"[3.1323795, 39.8416961]"
node/283190096,bank,,BBVA,BBVA,"[3.1328198, 39.841716]"
node/283190119,atm,,,,"[3.1347859, 39.8411439]"
node/283190122,bank,,Banco Santander,Banco Santander,"[3.1351299, 39.8410831]"
node/283190124,bank,yes,Banco Santander,Banco Santander,"[3.1345136, 39.8412179]"
node/283206827,bank,yes,Banca March,Banca March,"[3.1343035, 39.8428465]"
node/283212050,bank,,Deutsche Bank,Deutsche Bank,"[3.1372868, 39.8405804]"
node/283212058,bank,,Caixabank,Caixabank,"[3.1374256, 39.8403448]"
node/283593788,bank,yes,Banco Santander,Banco Santander,"[-3.658128, 40.4952954]"
node/283595183,bank,yes,BBVA,BBVA,"[-3.655087, 40.4925904]"
node/286619283,bank,yes,,Caja de Ahorros del Mediterráneo,"[-0.2376919, 38.5044896]"
node/286619285,bank,,Caja Rural,Caja Rural,"[-0.2357204, 38.5055067]"
node/286889259,bank,yes,Banco Sabadell,Banco Sabadell,"[-0.4139615, 38.3684312]"
node/286890156,bank,yes,Caixabank,Caixabank,"[-0.4139498, 38.3680183]"
node/288567404,bank,yes,Ibercaja,Ibercaja,"[-0.8751935, 41.6349309]"
node/288579563,bank,yes,Ibercaja,Ibercaja,"[-0.8782101, 41.6342723]"
node/288596512,bank,yes,Ibercaja,Ibercaja,"[-0.8795775, 41.6352789]"
node/288596524,bank,yes,BBVA,BBVA,"[-0.8788715, 41.6348354]"
node/288623302,atm,yes,Unicaja Banco,Unicaja Banco,"[-5.6764129, 41.9990949]"
node/288949015,bank,yes,BBVA,BBVA,"[2.0018079, 41.3085029]"
node/288949024,bank,yes,Caixabank,Caixabank,"[1.9992991, 41.3044717]"
node/290855802,bank,,Cajamar,Cajamar,"[-2.2959542, 37.3553841]"
node/290855807,bank,,Unicaja Banco,Unicaja Banco,"[-2.2964252, 37.356068]"
node/291072856,bank,,Banco Santander,Banco Santander,"[-2.2963019, 37.3556488]"
node/292112161,bank,,Caixabank,Caixabank,"[-2.2976913, 37.3570341]"
node/292285052,bank,,Deutsche Bank,Deutsche Bank,"[-5.9970898, 37.3912899]"
node/292747162,bank,,Banco Santander,Banco Santander,"[-2.3036767, 37.3335836]"
node/292747202,bank,,Unicaja Banco,Unicaja Banco,"[-2.30268, 37.3340979]"
node/292747204,bank,,Caixabank,Caixabank,"[-2.3024793, 37.3342597]"
node/294960419,bank,,Unicaja Banco,Unicaja Banco,"[-2.2643757, 37.359077]"
node/294960903,bank,,Cajamar,Cajamar,"[-2.2647553, 37.3593831]"
way/296734640,bank,yes,Caixabank,Caixabank,"[-3.6403531, 40.3980427]"
node/298019066,bank,,Banco Santander,Banco Santander,"[-2.463517, 36.8377688]"
node/298019067,bank,,Deutsche Bank,Deutsche Bank,"[-2.4634855, 36.8374278]"
node/298173254,bank,yes,,,"[-3.6674508, 40.5102499]"
